,name,company,year,Price,kms_driven,fuel_type
159,Renault Scala RxL,Renault,2015,375000.0,25000,Diesel
160,Hyundai Grand i10,Hyundai,2014,365000.0,20000,Petrol
161,Hyundai i20 Active,Hyundai,2015,500000.0,18000,Petrol
162,Mahindra Xylo E4,Mahindra,2012,400000.0,35000,Diesel
163,Mahindra Jeep MM,Mahindra,2019,390000.0,60,Diesel
164,Mahindra Bolero SLE,Mahindra,2013,330000.0,80200,Diesel
165,Force Motors Force,Force,2015,580000.0,3200,Diesel
166,Maruti Suzuki SX4,Maruti,2012,265000.0,46000,Diesel
167,Mahindra Jeep CL550,Mahindra,2019,379000.0,0,Diesel
168,Maruti Suzuki Alto,Maruti,2015,219000.0,5000,Petrol
169,Mahindra Jeep CL550,Mahindra,2018,385000.0,588,Diesel
170,Toyota Etios,Toyota,2011,275000.0,36000,Diesel
171,Volkswagen Polo,Volkswagen,2015,330000.0,38000,Diesel
172,Honda City ZX,Honda,2008,110000.0,45000,Petrol
173,Maruti Suzuki Wagon,Maruti,2006,80000.0,71200,Petrol
174,Honda City VX,Honda,2016,519000.0,52000,Diesel
175,Mahindra Thar CRDe,Mahindra,2016,730000.0,29000,Diesel
176,Audi A4 1.8,Audi,2009,699000.0,47000,Petrol
177,Renault Kwid RXT,Renault,2017,340000.0,5000,Petrol
178,Tata Aria Pleasure,Tata,2014,390000.0,35000,Diesel
179,Datsun GO T,Datsun,2016,245000.0,7000,Petrol
180,Honda Jazz VX,Honda,2016,450000.0,41000,Petrol
181,Honda Amaze 1.2,Honda,2014,311000.0,33000,Petrol
182,Honda City,Honda,2012,399999.0,45000,Petrol
183,Honda City,Honda,2015,599999.0,39000,Diesel
184,Mahindra Scorpio S4,Mahindra,2015,855000.0,30000,Diesel
185,Hyundai i20 Active,Hyundai,2015,535000.0,37000,Diesel
186,Maruti Suzuki Ciaz,Maruti,2017,699000.0,14000,Petrol
187,Chevrolet Tavera Neo,Chevrolet,2013,375000.0,55000,Diesel
188,Hyundai Eon Sportz,Hyundai,2012,178000.0,30000,Petrol
189,Tata Sumo Gold,Tata,2013,300000.0,50000,Diesel
190,Maruti Suzuki Wagon,Maruti,2003,90000.0,45000,Petrol
191,Maruti Suzuki Esteem,Maruti,2006,95000.0,45000,Petrol
192,Maruti Suzuki Eeco,Maruti,2015,255000.0,9300,Petrol
193,Chevrolet Enjoy 1.4,Chevrolet,2013,245000.0,55000,Diesel
194,Maruti Suzuki Wagon,Maruti,2015,289999.0,22000,Petrol
195,Nissan Terrano XL,Nissan,2015,499999.0,60000,Diesel
196,Renault Duster 85,Renault,2014,489999.0,59000,Diesel
197,Renault Duster 85,Renault,2015,549999.0,19000,Diesel
198,Maruti Suzuki Dzire,Maruti,2013,380000.0,30000,Petrol
199,Renault Kwid RXT,Renault,2018,325000.0,15000,Petrol
200,Maruti Suzuki Maruti,Maruti,2003,57000.0,56758,Petrol
201,Renault Kwid 1.0,Renault,2018,349999.0,10000,Petrol
202,Renault Scala RxL,Renault,2014,349999.0,49000,Diesel
203,Hyundai Grand i10,Hyundai,2014,410000.0,41000,Petrol
204,Maruti Suzuki Swift,Maruti,2011,225000.0,45000,Petrol
205,Chevrolet Beat LS,Chevrolet,2010,120000.0,43000,Petrol
206,Chevrolet Beat LS,Chevrolet,2010,80000.0,56000,Petrol
207,Chevrolet Beat LS,Chevrolet,2015,220000.0,32700,Petrol
208,Ford EcoSport Titanium,Ford,2016,599000.0,30000,Diesel
209,Hyundai Accent GLX,Hyundai,2006,80000.0,56000,Petrol
210,Mahindra TUV300 T4,Mahindra,2016,675000.0,9000,Diesel
211,Tata Indica V2,Tata,2008,150000.0,11000,Petrol
212,Tata Indigo CS,Tata,2009,72500.0,46000,Diesel
213,Maruti Suzuki Swift,Maruti,2019,610000.0,73,Petrol
214,Honda Accord,Honda,2009,175000.0,58559,Petrol
215,Ford EcoSport Titanium,Ford,2014,520000.0,57000,Diesel
216,Maruti Suzuki Ertiga,Maruti,2015,524999.0,50000,Diesel
217,Honda Amaze,Honda,2014,299999.0,37000,Petrol
218,Maruti Suzuki Dzire,Maruti,2012,299999.0,40000,Petrol
219,Honda City,Honda,2011,284999.0,55000,Petrol
220,Maruti Suzuki Dzire,Maruti,2014,424999.0,55000,Diesel
221,Honda City,Honda,2015,644999.0,39000,Petrol
222,Honda Mobilio,Honda,2014,399999.0,44000,Petrol
223,Toyota Corolla Altis,Toyota,2009,199999.0,65000,Petrol
224,Honda City,Honda,2014,584999.0,39000,Petrol
225,Skoda Laura,Skoda,2012,349999.0,44000,Diesel
226,Renault Duster,Renault,2015,449999.0,49000,Diesel
227,Maruti Suzuki Ertiga,Maruti,2018,799999.0,9000,Diesel
228,Maruti Suzuki Dzire,Maruti,2015,444999.0,45000,Diesel
229,Mahindra XUV500,Mahindra,2014,649999.0,47000,Diesel
230,Hyundai Verna Fluidic,Hyundai,2012,444999.0,40000,Diesel
231,Maruti Suzuki Vitara,Maruti,2016,689999.0,29000,Diesel
232,Maruti Suzuki Wagon,Maruti,2016,344999.0,15000,Petrol
233,Mahindra Scorpio,Mahindra,2015,944999.0,45000,Diesel
234,Honda Amaze,Honda,2014,274999.0,35000,Petrol
235,Mahindra XUV500,Mahindra,2013,689999.0,80000,Diesel
236,Mahindra Scorpio,Mahindra,2013,574999.0,68000,Diesel
237,Skoda Laura,Skoda,2013,374999.0,50000,Diesel
238,Volkswagen Polo,Volkswagen,2010,199999.0,60000,Diesel
239,Hyundai Elite i20,Hyundai,2016,549999.0,9000,Petrol
240,Tata Manza Aura,Tata,2012,130000.0,72000,Diesel
241,Chevrolet Sail UVA,Chevrolet,2013,210000.0,60000,Petrol
242,Hyundai Verna Fluidic,Hyundai,2013,401000.0,45000,Diesel
243,Hyundai Elantra SX,Hyundai,2013,600000.0,20000,Petrol
244,Mahindra Scorpio VLX,Mahindra,2013,610000.0,35000,Diesel
245,Mahindra KUV100 K8,Mahindra,2016,400000.0,20000,Diesel
246,Hyundai Grand i10,Hyundai,2017,524999.0,6821,Petrol
247,Hyundai i20,Hyundai,2014,449999.0,23000,Petrol
248,Hyundai Eon,Hyundai,2014,174999.0,14000,Petrol
249,Hyundai i10,Hyundai,2012,244999.0,38000,Petrol
250,Hyundai i20 Active,Hyundai,2015,574999.0,35000,Diesel
251,Datsun Redi GO,Datsun,2017,244999.0,22000,Petrol
252,Toyota Etios Liva,Toyota,2011,239999.0,41000,Petrol
253,Hyundai Accent,Hyundai,2010,99999.0,45000,Petrol
254,Hyundai Verna,Hyundai,2014,489999.0,44000,Diesel
255,Maruti Suzuki Swift,Maruti,2013,324999.0,45000,Diesel
256,Hyundai i10 Sportz,Hyundai,2012,230000.0,34000,Petrol
257,Mahindra Bolero Power,Mahindra,2018,699000.0,1800,Diesel
258,Chevrolet Spark LT,Chevrolet,2009,110000.0,44000,Petrol
259,Tata Indigo eCS,Tata,2014,250000.0,40000,Diesel
260,Skoda Rapid Elegance,Skoda,2013,340000.0,48000,Diesel
261,Tata Vista Quadrajet,Tata,2011,120000.0,90000,Diesel
262,Maruti Suzuki Alto,Maruti,2015,265000.0,12000,Petrol
263,Maruti Suzuki Zen,Maruti,2003,85000.0,69900,Petrol
264,Hyundai i10 Magna,Hyundai,2011,175000.0,45000,Petrol
265,Honda City ZX,Honda,2008,149000.0,42000,Petrol
266,Mahindra Jeep MM,Mahindra,2006,425000.0,122,Diesel
267,Chevrolet Beat Diesel,Chevrolet,2017,150000.0,62000,Diesel
268,Honda City 1.5,Honda,2010,225000.0,70000,Petrol
269,Hyundai Verna 1.4,Hyundai,2014,375000.0,36000,Petrol
270,Toyota Innova 2.5,Toyota,2012,770000.0,0,Diesel
271,Maruti Suzuki Swift,Maruti,2014,335000.0,55000,Diesel
272,Hyundai Elite i20,Hyundai,2015,450000.0,20000,Diesel
273,Maruti Suzuki Swift,Maruti,2012,225000.0,40000,Petrol
274,Maruti Suzuki Versa,Maruti,2004,80000.0,50000,Petrol
275,Tata Indigo LX,Tata,2016,130000.0,104000,Diesel
276,Volkswagen Vento Konekt,Volkswagen,2011,245000.0,65000,Diesel
277,Maruti Suzuki Ertiga,Maruti,2013,450000.0,90000,Diesel
278,Hyundai Santro Xing,Hyundai,2006,75000.0,46000,Petrol
279,Hyundai Sonata Transform,Hyundai,2017,190000.0,36469,Diesel
280,Hyundai Elite i20,Hyundai,2018,600000.0,7800,Petrol
281,Maruti Suzuki Alto,Maruti,2017,240000.0,60000,Petrol
282,Maruti Suzuki Alto,Maruti,2011,155000.0,32000,Petrol
283,Honda Jazz S,Honda,2009,169999.0,24695,Petrol
284,Hyundai Grand i10,Hyundai,2017,450000.0,15141,Petrol
285,Mahindra Scorpio W,Mahindra,2012,165000.0,65000,Diesel
286,Maruti Suzuki Alto,Maruti,2014,270000.0,22000,Petrol
287,Hyundai Grand i10,Hyundai,2016,280000.0,59910,Diesel
288,Mahindra XUV500 W8,Mahindra,2012,560000.0,100000,Diesel
289,Hyundai Creta 1.6,Hyundai,2016,950000.0,25000,Petrol
290,Hyundai i20 Magna,Hyundai,2013,310000.0,35000,Petrol
291,Renault Duster 85,Renault,2015,715000.0,65000,Diesel
292,Hyundai Grand i10,Hyundai,2014,340000.0,35000,Petrol
293,Honda Brio V,Honda,2012,235000.0,33000,Petrol
294,Mahindra TUV300 T4,Mahindra,2017,610000.0,68000,Diesel
295,Chevrolet Spark LS,Chevrolet,2010,95000.0,23000,Petrol
296,Maruti Suzuki Alto,Maruti,2015,230000.0,5000,Petrol
297,Chevrolet Beat LS,Chevrolet,2016,210000.0,22000,Diesel
298,Ford EcoSport Trend,Ford,2013,495000.0,38000,Diesel
299,Tata Indigo LS,Tata,2016,125000.0,70000,Diesel
300,Hyundai i20 Magna,Hyundai,2010,195000.0,36000,Petrol
301,Volkswagen Vento Highline,Volkswagen,2015,550000.0,34000,Diesel
302,Renault Kwid RXT,Renault,2015,270000.0,43000,Petrol
303,Ford EcoSport Titanium,Ford,2014,500000.0,40000,Diesel
304,Hyundai Verna 1.6,Hyundai,2017,800000.0,12000,Petrol
305,Skoda Superb 1.8,Skoda,2011,530000.0,68000,Petrol
306,Mahindra Bolero DI,Mahindra,2012,220000.0,59466,Diesel
307,Ford Figo Duratorq,Ford,2012,250000.0,99000,Diesel
308,Maruti Suzuki Wagon,Maruti,2018,395000.0,25500,Petrol
309,Mahindra Logan Diesel,Mahindra,2009,130000.0,66000,Petrol
310,Tata Nano GenX,Tata,2010,32000.0,44005,Petrol
311,Mahindra TUV300 T4,Mahindra,2016,540000.0,35000,Diesel
312,Hyundai Elite i20,Hyundai,2015,405000.0,28000,Petrol
313,Hyundai Elite i20,Hyundai,2015,400000.0,30000,Petrol
314,Honda City SV,Honda,2017,760000.0,4000,Petrol
315,Maruti Suzuki Baleno,Maruti,2016,500000.0,28000,Petrol
316,Ford Figo Petrol,Ford,2011,175000.0,75000,Petrol
317,Honda City,Honda,2017,750000.0,3000,Petrol
318,Hyundai Elite i20,Hyundai,2015,419000.0,20000,Petrol
319,Maruti Suzuki Versa,Maruti,2004,90000.0,50000,Petrol
320,Hyundai Eon Era,Hyundai,2018,140000.0,2110,Petrol
321,Hyundai i10 Magna,Hyundai,2008,275000.0,100200,Petrol
322,Toyota Corolla H2,Toyota,2003,150000.0,100000,Petrol
323,Maruti Suzuki Swift,Maruti,2011,230000.0,65,Petrol
324,Tata Indigo CS,Tata,2015,123000.0,100000,Diesel
325,Hyundai Accent Executive,Hyundai,2009,165000.0,48000,Petrol
326,Maruti Suzuki Baleno,Maruti,2016,498000.0,22000,Petrol
327,Tata Zest XE,Tata,2018,480000.0,103553,Diesel
328,Maruti Suzuki Dzire,Maruti,2017,488000.0,80000,Diesel
329,Tata Sumo Gold,Tata,2014,250000.0,99000,Diesel
330,Toyota Corolla Altis,Toyota,2010,220000.0,58000,Petrol
331,Maruti Suzuki Eeco,Maruti,2013,290000.0,70000,LPG
332,Mahindra XUV500 W6,Mahindra,2013,548900.0,49800,Diesel
333,Tata Tigor Revotron,Tata,2019,650000.0,100,Diesel
334,Maruti Suzuki Ertiga,Maruti,2015,550000.0,75000,Petrol
335,Honda Mobilio S,Honda,2014,399000.0,44000,Diesel
336,Maruti Suzuki Ertiga,Maruti,2016,730000.0,55000,Diesel
337,Maruti Suzuki Vitara,Maruti,2017,725000.0,36000,Diesel
338,Hyundai Verna 1.6,Hyundai,2016,195000.0,56000,Diesel
339,Maruti Suzuki Swift,Maruti,2007,130000.0,62000,Petrol
340,Maruti Suzuki Omni,Maruti,2014,190000.0,6020,Petrol
341,Honda Amaze,Honda,2013,250000.0,55700,Diesel
342,Tata Indica,Tata,2005,80000.0,42000,Petrol
343,Hyundai Santro Xing,Hyundai,2003,120000.0,50000,Petrol
344,Maruti Suzuki Zen,Maruti,2010,149000.0,35000,Petrol
345,Maruti Suzuki Wagon,Maruti,2014,250000.0,18500,Petrol
346,Maruti Suzuki Wagon,Maruti,2007,120000.0,7000,Petrol
347,Honda Brio VX,Honda,2017,450000.0,11000,Petrol
348,Maruti Suzuki Zen,Maruti,2003,99999.0,53000,Petrol
349,Maruti Suzuki Zen,Maruti,2008,135000.0,23000,Petrol
350,Maruti Suzuki Wagon,Maruti,2016,225000.0,35500,Diesel
351,Maruti Suzuki Alto,Maruti,2010,99000.0,22134,Petrol
352,Renault Kwid RXT,Renault,2019,370000.0,1000,Petrol
353,Tata Nano Lx,Tata,2010,52000.0,9000,Petrol
354,Hyundai Eon Magna,Hyundai,2014,190000.0,35000,Petrol
355,Honda City 1.5,Honda,2014,499000.0,22000,Petrol
356,Maruti Suzuki Ritz,Maruti,2010,149000.0,40000,Petrol
357,Hyundai Grand i10,Hyundai,2017,400000.0,20000,Petrol
358,Hyundai Eon D,Hyundai,2016,120000.0,87000,Petrol
359,Maruti Suzuki Swift,Maruti,2015,250000.0,55000,Petrol
360,Maruti Suzuki Wagon,Maruti,2017,375000.0,23000,Petrol
361,Honda Amaze 1.2,Honda,2014,381000.0,6000,Petrol
362,Maruti Suzuki Estilo,Maruti,2013,180000.0,65000,Petrol
363,Maruti Suzuki Vitara,Maruti,2016,580000.0,25000,Diesel
364,Maruti Suzuki Eeco,Maruti,2015,278000.0,39000,Petrol
365,Mahindra Scorpio Vlx,Mahindra,2013,690000.0,75000,Diesel
366,Maruti Suzuki Ertiga,Maruti,2012,480000.0,51000,Diesel
367,Mitsubishi Lancer 1.8,Mitsubishi,2006,85000.0,50000,Petrol
368,Maruti Suzuki Alto,Maruti,2015,90000.0,55800,Petrol
369,Hyundai Grand i10,Hyundai,2015,340000.0,53000,Petrol
370,Hyundai Eon D,Hyundai,2018,260000.0,25000,Petrol
371,Ford Fiesta SXi,Ford,2009,250000.0,56400,Petrol
372,Maruti Suzuki Ritz,Maruti,2010,180000.0,72160,Diesel
373,Hyundai Verna Fluidic,Hyundai,2012,350000.0,10000,Diesel
374,Maruti Suzuki Wagon,Maruti,2006,90001.0,48000,Petrol
375,Maruti Suzuki Estilo,Maruti,2007,115000.0,36000,Petrol
376,Maruti Suzuki Wagon,Maruti,2009,159000.0,27000,Petrol
377,Maruti Suzuki Wagon,Maruti,2009,160000.0,35000,Petrol
378,Maruti Suzuki Alto,Maruti,2010,110000.0,55000,Petrol
379,Maruti Suzuki Baleno,Maruti,2016,425000.0,40000,Petrol
380,Hyundai Verna 1.6,Hyundai,2019,900000.0,2000,Petrol
381,Maruti Suzuki Swift,Maruti,2009,150000.0,45000,Petrol
382,Hyundai Getz Prime,Hyundai,2009,110000.0,20000,Petrol
383,Hyundai Getz Prime,Hyundai,2009,115000.0,20000,Petrol
384,Chevrolet Beat PS,Chevrolet,2012,215000.0,65422,Diesel
385,Ford EcoSport Trend,Ford,2017,580000.0,10000,Petrol
386,Maruti Suzuki Dzire,Maruti,2013,380000.0,35000,Petrol
387,Hyundai i20 Asta,Hyundai,2010,300000.0,10750,Petrol
388,Honda City 1.5,Honda,2009,269000.0,55000,Petrol
389,Tata Nano,Tata,2013,60000.0,6800,Petrol
390,Chevrolet Cruze LTZ,Chevrolet,2014,400000.0,41000,Diesel
391,Hyundai Verna Fluidic,Hyundai,2015,430000.0,73000,Diesel
392,Maruti Suzuki Swift,Maruti,2011,140000.0,65000,Diesel
393,Maruti Suzuki Alto,Maruti,2014,199000.0,37000,Petrol
394,Hyundai Accent GLE,Hyundai,2006,90000.0,55000,Petrol
395,Maruti Suzuki Alto,Maruti,2019,265000.0,9800,Petrol
396,Chevrolet Spark 1.0,Chevrolet,2011,100000.0,27000,Petrol
397,Hyundai i10,Hyundai,2009,215000.0,27000,Petrol
398,Toyota Etios Liva,Toyota,2012,380000.0,20000,Diesel
